origin,destination,Domestic,CarrierAA,Class,Ticket,amount,miles
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,168.70,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,180.71,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,180.71,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,180.71,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,180.93,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,181.20,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,181.81,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,182.09,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,182.16,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,182.31,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,182.88,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,183.32,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,183.64,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,183.67,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,183.76,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,184.40,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,184.40,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,184.40,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,184.94,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,189.05,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,190.35,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,191.47,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,AMERICAN AIRLINES,BUSINESS,1.00,192.14,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,193.86,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,194.19,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,194.42,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,194.42,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,194.71,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,194.71,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.17,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.17,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.33,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.33,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.33,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.36,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.63,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.63,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.63,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.63,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.67,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,195.93,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,196.02,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,196.59,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,196.59,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,196.59,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,196.67,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,196.67,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,196.99,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,197.23,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,197.39,2412.00
RALEIGH DURHAM,SAN FRANCISCO,DOMESTIC            ,UNITED AIRLINES,BUSINESS,1.00,199.93,2412.00
